1950, -2.709677e-005, 4.858718e-003, -1.117846e-002, 4.035163e-005, 6.372371e-006, -1.469209e-005, 1.314840e-005, 4.865622e-003, -1.119308e-002 
1951, -2.602250e-005, 4.761537e-003, -1.095493e-002, 4.180624e-005, -4.589039e-006, 1.058048e-005, 1.579877e-005, 4.757487e-003, -1.094428e-002 
1952, -2.496997e-005, 4.664357e-003, -1.073139e-002, 3.745868e-005, -1.593771e-005, 3.674656e-005, 1.262486e-005, 4.648903e-003, -1.069457e-002 
1953, -2.393916e-005, 4.567177e-003, -1.050785e-002, 2.801922e-005, -2.465875e-005, 5.685570e-005, 4.304884e-006, 4.542894e-003, -1.045093e-002 
1954, -2.293008e-005, 4.469996e-003, -1.028432e-002, 1.614807e-005, -3.019749e-005, 6.962871e-005, -6.505050e-006, 4.440047e-003, -1.021462e-002 
1955, -2.194272e-005, 4.372817e-003, -1.006077e-002, 2.512940e-006, -3.358155e-005, 7.743452e-005, -1.912481e-005, 4.339343e-003, -9.983270e-003 
1956, -2.097710e-005, 4.275637e-003, -9.837233e-003, -1.278249e-005, -3.377808e-005, 7.789093e-005, -3.345945e-005, 4.241815e-003, -9.759272e-003 
1957, -2.003320e-005, 4.178457e-003, -9.613690e-003, -2.737347e-005, -2.917406e-005, 6.727691e-005, -4.715770e-005, 4.149102e-003, -9.546343e-003 
1958, -1.911103e-005, 4.081278e-003, -9.390145e-003, -3.823132e-005, -2.094627e-005, 4.830470e-005, -5.717676e-005, 4.060054e-003, -9.341770e-003 
1959, -1.821059e-005, 3.984099e-003, -9.166599e-003, -4.503724e-005, -1.135697e-005, 2.619116e-005, -6.317461e-005, 3.972410e-003, -9.140338e-003 
1960, -1.733187e-005, 3.886920e-003, -8.943052e-003, -4.770961e-005, -6.240090e-007, 1.439092e-006, -6.506678e-005, 3.885950e-003, -8.941542e-003 
1961, -1.647489e-005, 3.789742e-003, -8.719503e-003, -4.509463e-005, 1.106903e-005, -2.552744e-005, -6.169711e-005, 3.800497e-003, -8.744959e-003 
1962, -1.563963e-005, 3.692563e-003, -8.495953e-003, -3.668747e-005, 2.122583e-005, -4.895045e-005, -5.253890e-005, 3.713557e-003, -8.544832e-003 
1963, -1.482610e-005, 3.595385e-003, -8.272401e-003, -2.483684e-005, 2.777595e-005, -6.405481e-005, -3.992467e-005, 3.623035e-003, -8.336384e-003 
1964, -1.403430e-005, 3.498207e-003, -8.048848e-003, -1.120429e-005, 3.122204e-005, -7.200011e-005, -2.552234e-005, 3.529418e-003, -8.120777e-003 
1965, -1.326422e-005, 3.401029e-003, -7.825293e-003, 3.688476e-006, 3.201875e-005, -7.383530e-005, -9.859228e-006, 3.433156e-003, -7.899057e-003 
1966, -1.251587e-005, 3.303852e-003, -7.601737e-003, 1.856813e-005, 2.868605e-005, -6.614823e-005, 5.800834e-006, 3.332759e-003, -7.667814e-003 
1967, -1.178926e-005, 3.206675e-003, -7.378180e-003, 3.023178e-005, 2.110079e-005, -4.865609e-005, 1.825319e-005, 3.228078e-003, -7.426765e-003 
1968, -1.108436e-005, 3.109498e-003, -7.154621e-003, 3.752858e-005, 1.172365e-005, -2.703316e-005, 2.632653e-005, 3.121570e-003, -7.181583e-003 
1969, -1.040120e-005, 3.012321e-003, -6.931060e-003, 4.111883e-005, 1.989294e-006, -4.587034e-006, 3.067001e-005, 3.014676e-003, -6.935577e-003 
1970, -9.739766e-006, 2.915145e-003, -6.707499e-003, 4.070478e-005, -8.712243e-006, 2.008936e-005, 3.098969e-005, 2.906786e-003, -6.687339e-003 
1971, -9.100058e-006, 2.817968e-003, -6.483936e-003, 3.456054e-005, -1.953591e-005, 4.504832e-005, 2.555356e-005, 2.798738e-003, -6.438817e-003 
1972, -8.482078e-006, 2.720793e-003, -6.260371e-003, 2.369608e-005, -2.760961e-005, 6.366765e-005, 1.535352e-005, 2.693412e-003, -6.196633e-003 
1973, -7.885826e-006, 2.623617e-003, -6.036805e-003, 1.069498e-005, -3.202437e-005, 7.385076e-005, 2.969408e-006, 2.591738e-003, -5.962884e-003 
